"_c0","text"
"图形算法工程师（仪器中心）","	        岗位职责：负责二维图形处理算法开发。任职资格：理工科相关专业硕士及以上学历。岗位要求：1、熟悉图形学与图形处理。2、良好的算法分析和科研兴趣。3、有扎实的数学基础。4、C++或C#开发经验。工作地点：深圳市福田保税区。                "
"机器人运动控制算法工程师","六轴机械臂,机器人	工作职责:
1.负责六轴机器人、PLC产品运动规划算法的设计、开发及维护，包括但不限于轨迹规划算法、路径规划算法、插补算法、运动学正逆解、时间最优规划等；
2.参与六轴机器人、PLC产品控制算法平台软件功能与软件架构的设计、开发及维护，承担算法平台的代码移植、架构改进及落地维护，承担运动规划与运动控制相关软件问题的分析解决；
任职资格:
1.自动化、控制工程、机械工程、计算机等相关专业，本科及以上学历，两年以上相关工作经验；；
2.精通电机控制原理、伺服控制原理，精通经典控制理论、数字信号处理、熟悉现代控制理论，有3年以上伺服相关行业算法设计经验；
3.扎实的数学功底及数学建模能力，熟悉数值优化算法，能熟练进行算法仿真分析及验证；
4.熟练掌握C/C++语言编程，熟悉Linux操作系统，具有嵌入式软件开发经验；
5.良好的自我驱动与自我学习能力，良好的系统思维能力和团队协作精神，对技术工作有强烈的意愿，敢于追求卓越；
6.有运动控制器运动规划类算法开发经验者优先；"
"视觉slam算法","SLAM算法,C/C++	岗位职责：
1. 全场景自动驾驶解决方案中视觉SLAM算法研发与工程化落地，应用于量产。
2. 支持主线研发和量产项目定位算法交付任务，涉及传统CV特征以及深度学习语义特征等设计实现及其与定位方案的结合。
3. 多传感器标定核心模块的研发，包括产线标定、在线标定、失效检测等核心算法，涉及传统CV特征以及深度学习语义特征等设计实现及其与标定方案的结合
4. 定位算法架构设计与实现，工程软件规范化与质量效率提升。
5. 高效自动化算法开发迭代工具设计与实现，高准确性算法评测系统搭建。
任职要求：
1. 对自动驾驶具有较高的热情，愿意投入其中。
2. 计算机、自动化、机器人等相关专业的硕士或以上学历，或者有相关方面的实际工作经验。
3. 熟悉视觉SLAM相关的算法，如特征点提取、追踪、ORB-SLAM、DSO，lego loam cartographer等。熟悉基于卡尔曼等滤波算法，最小二乘等非线性优化算法。
4. 熟悉Linux系统，良好的C/C++编程基础，熟悉数据结构、常见算法。
5. 有机器学习应用经验优先。
6. 有ROS、自动驾驶、机器人项目经验优先。"
"SLAM算法工程师（嘉兴事业单位全球引才）","三维重建,算法研究,SLAM算法,SA算法,视觉算法,C++	职责描述：
\""1. 负责视觉SLAM算法和三维重建算法研发；
2. 负责视觉SLAM/三维重建算法在AR设备上落地；\""
任职要求：
\""1、深入理解VIO/SLAM/SFM/三维重建等算法的一种或多种，拥有SLAM完整技术栈者优先；
2、数学基础扎实，熟悉计算机视觉、多视几何、非线性优化等；
3、编程功底扎实，熟练掌握C/C++和各种数据结构。
4、熟练的英文文献阅读能力；
5. 在计算机视觉、3D视觉等相关方向发表过高质量论文的优先；
6. 有良好的的团队合作意识\""

"
"图像算法工程师实习生","	        一、岗位职责1.针对项目需求，提出有效、高效的解决方案；2.部署、搭建项目算法所需环境；3.实现、优化主流的前沿机器学习与计算机视觉领域的算法，尤其是深度卷积神经网络的图像分类、目标检测及语义分割算法；4.完成部分数据分析工作；5.调研、测试最新深度学习算法，撰写相关文档。二、任职要求：1.精通常见的图像处理算法、模式识别算法和深度学习算法；2.具备较强的视觉项目设计开发能力；3.熟练使用Linux系统，熟悉VS/C++、matlab、Python等编程语言；4.熟练掌握opencv等常见图像处理开源库；5.至少熟悉一种深度学习框架，能快速使用深度学习完成图像目标检测、分类和分割等任务；6.对图像处理算法研究与开发有浓厚的兴趣；7.具备良好的代码书写规范、文档编写能力和论文总结能力；8.具有较强的学习积极性，不好高骛远；9.有实际算法项目工作经验者优先；10.计算机视觉、数字图像处理及深度学习相关专业；11.本科及以上学历，研究生优先；12.实习时间：至少2个月。三、发展及奖励1.能接触学习到的知识、技能、项目：（1）深度学习项目落地、部署（2）深度学习前沿技术、论文调研能力（3）项目研发的全流程实现（4）研究学术型、发明专利等文档撰写能力（5）根据个人能力，表现优秀者可带高校或研究所的项目2.日薪（即食宿补贴）：本科100元/天，硕士150元/天（表现优异者，额外提供奖金+表彰）3.提供实习证明；评为优秀实习生者颁发荣誉证书3.实习表现优异者，优先考虑录用我们愿为优秀的你提供实习机会，开启未来职业生涯的金钥匙，加油！                "
"机器人3D视觉算法工程师","3D视觉,C++,点云处理,感知	岗位职责：
负责机器人操作的2D/3D感知算法的研发

任职要求：
1. 计算机、自动化、机器人等相关专业，具有良好的图像处理基础和数学基础
2. 熟悉C++，编程、算法基础扎实
3. 熟悉点云处理、ICP、点云聚类等常见点云算法
4. 了解OpenCV、PCL、open3d等常见开源库
5. 有丰富的RGB图像和点云数据处理经验，例如位姿估计、多视几何视觉等

加分项：
1. 了解并行计算、CUDA、SIMD指令集、算法优化等高性能计算知识者优先
有 SLAM 相关经验
2. 熟悉计算机图形学和3D建模、渲染等
3. 有ACM-ICPC编程比赛、机器人比赛或大型硬件软件集成系统开发的经验
4. 熟悉常见图像算法、点云算法的高性能实现者优先"
"惯导算法工程师，单兵定位系统","导航算法,定位算法,运动控制算法	<div>  1. 负责惯导进行惯性导航、姿态、小空间人员定位理论分析、仿真及算法和程序设计；  <br>2. 负责惯导模拟及组合定位系统标定及误差补偿工作；  <br>3. 负责起草产品设计方案及设计任务书，指导、参与设计方案的论证及评审</div><div> 单兵定位系统 <br></div><div>  具体面议</div>"
"L2自动驾驶算法工程师","C语言,MATLAB,Simulink,建模,A-SPICE,仪表算法,自动驾驶,ISO	<div> 工作职责：</div><div> 负责L2 自动驾驶核心算法设计</div><div> 使用matlab进行建模开发;</div><div> 代码调试工作，现场参数调整，标定工作</div><div> 负责按照A-SPICE或ISO 26262.6中的流程要求进行软件</div><div> 开发，并输出相关设计资料;</div><div> 任职资格：</div><div> 具备3年以上仪表算法开发经验</div><div> 精通L2自动驾驶核心算法相关逻辑。</div><div> 具备L2自动驾驶规范需求分析能力</div><div> 具备MATLAB(Simulink)建模能力;</div><div> 熟实车测试工具使用</div><div> 统招本科及以上学历;</div>"
"nlp算法总监","对话系统,推荐算法,搜索算法,C/C++,Python,Java,机器学习,算法工程化经验	职位描述
1、负责内容理解和内容安全算法方向的NLP技术团队，为业务和算法方向的团队提供NLP技术支持；
2、建设文本、多模态领域的基础技术能力，包括但不限于：
（1）为多样的业务线、问题域提供LLM基座模型pretrain，降低大团队成本并提升下游模型应用的效果；
（2）建设通用的技术能力，如数据工程、RAG、基础工程架构等；
（3）为创新业务提供基础技术能力；
3、长期投入NLP算法方向的探索研究，做到在NLP技术上的跟进和创新。

职位要求
1、90后，统招本科以上学历，985/211院校优先；
2、对NLP技术有深刻的技术理解，长期跟进相关技术的学术研究和行业应用，包括但不限于：
（1）推荐、搜索、广告等大规模机器学习行业经验；
（2）机器学习/CV/音频/NLP等行业经验；
（3）机器学习/CV/音频/人工智能相关领域会议论文；
3、5年以上的从业经历，对NLP相关业务有深入的理解，在类似业务有算法团队经历者优先；
4、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情，能够将机器学习算法和业务结合解决现实问题；
5、具备算法团队的管理能力，能够紧跟当前的技术趋势，设计整个团队的技术架构，规划中长期发展路线。"
"视觉感知算法","深度学习 图像处理,标注方案  感知算法	任职资格
1、硕士及以上学历，3年以上深度学习领域工作经历；
2、对传统图像处理有一定的了解，了解图像处理的常用方法；
3、熟悉深度学习原理，熟练掌握深度学习基本算法，熟悉各种常用的模型，并掌握相关实现及优化方案；
4、熟练使用常见的深度学习框架，并能够灵活的解决实际问题，有业务部署落地经验。
工作职责：
1、负责业务数据的采集整理以及标注方案的制定；
2、负责深度学习模型的设计、训练、评估、优化以及部署与业务代码的开发；
3、参与相关项目的需求分析和方案设计，根据项目需求进行算法设计和实现；"
"算法工程师","计算机相关专业,图像算法,MATLAB,C/C++,优秀开源项目经历,研究导向,雷达,信号处理	【岗位职责】
1、负责雷达信号级仿真模型的设计、开发；
2、负责基于系统平台的雷达信号级仿真模型的集成和应用；
3、负责开展雷达信号级先进仿真技术跟踪和应用；
4、参与相关项目的定制化开发。
5、参与公司相关产品线建设；
【任职要求】
1、雷达，信号处理，微波等相关专业本科及以上学历，相关工作经验5年以上；
2、熟悉雷达工作机理，熟悉雷达信号和数据处理算法；
3、具有雷达信号级算法或软件研制或仿真经验；
4、具备C/C++/QT开发经验；
5、具备带领团队进行雷达信号仿真研究和开发经验者优先。
【薪资待遇】
15-25K"
"算法工程师","视觉处理,图像处理,Python,C++,相机标定	岗位职责：
1. 负责计算机视觉、图像处理相关算法的研发和优化；
2. 深入分析现有算法，了解业务需求，给出有效的解决方案；
3. 跟踪业界学界前沿算法最新进展。

岗位要求：
1. 计算机、电子、统计及数学等专业；
2. 熟练掌握机器学习、计算机视觉或图像处理的基本原理和概念；
3. 有传统计算机视觉经验，熟悉相机标定者优先；
4. 熟练使用Python，熟练掌握PyTorch，TensorFlow等。代码能力强。熟悉英伟达平台的模型训练和部署方法；
5. 数理功底扎实，自学能力强。"
"抓取操作算法工程师(A165545)","C/C++,Python	职位描述：<br>职位描述<br>1. 领导并参与机械人的操作抓取系统的研发，确保其高效、稳定和实用；<br>2. 根据项目需求，设计、开发和优化机械人的抓取算法和控制策略；<br>3. 负责多种传感器（包括但不限于摄像头、压力传感器、深度摄像头等）与机械手臂的整合与标定；<br>4. 搭建数据采集和仿真平台；<br>5. 带领团队进行前沿技术的研究和应用，确保技术领先并能够满足市场的变化和需求；<br>6. 定义和划分研发任务，确保团队高效运作。<br><br>任职要求<br>1. 硕士及以上学历，控制工程、自动化、机械电子、信息通信、计算机等相关专业，5年以上相关工作经验，其中至少2年的团队管理经验；<br>2. 深入了解机械手的操作抓取技术，包括但不限于传感器融合、物体识别、抓取策略等；<br>3. 熟悉机械操作抓取的最新研究成果和技术趋势，有能力引导团队进行开放性研发工作；<br>4. 熟练掌握相关的开源库，如ROS、OpenCV、TensorFlow等，并具有良好的编码习惯；<br>5. 对新技术有持续的热情，善于快速学习和创新，具有良好的团队协作和沟通能力；<br>6。 具备良好的问题分析和解决能力，能够在面对挑战时提出有效的技术解决方案。<br>附加优势<br>7. 有机械人操作抓取相关的研究成果或专利；<br>7. 具备跨学科的研究背景，如神经网络、计算机视觉、机器学习等，能为团队带来新的技术视角和创新点。<br><br>职位要求："
"【上海】机器人视觉算法工程师","数据处理,图像处理	【岗位职责】
负责仿人机器人手臂引导、精确定位的2D/3D感知算法的研发；
负责机器人智能控制与操作（抓取、路径规划）算法的研发；
负责或参与业务部门的需求分析，可能性方案，与落地部署。
【职责要求】
1. 5-10年相关领域工作经验，有完备的工业机器人视觉引导研发落地能力；
2.计算机、自动化、机器人等相关专业，具有良好的图像处理基础和数学基础；
3.精通C++编程、算法基础扎实；
4.熟悉点云处理、点云聚类等常见点云算法；
5.了解Opencv、PCL、Open3d等常见开源库；
6.有RGB图像和点云数据处理经验，例如位姿估计、多视几何视觉等。"
"图像算法工程师","图像算法,目标检测,语义分割	<div> 岗位职责： <br>1、负责视觉类工程项目开发、方案设计、系统部署和调试； <br>2、负责参与视觉类研发项目立项申报、设计开发和验证工作； <br>3、负责产品组件迭代升级，并参与产品标准化工作； <br>4、领导安排的其他工作。 <br>任职要求： <br>1、熟练掌握Opencv、Halcon或其他图像处理库； <br>2、掌握数字图像处理的基础，有实际视觉类项目开发部署经验； <br>3、熟悉C++，Python语言中至少一种； <br>4、熟练掌握pytorch、tensorflow、paddlepaddle等任一种深度学习框架，以及ONNX、NCNN、tensorRT、MACE等推理框架； <br>5、善于分析和解决问题，有较强的学习能力，良好的团队合作精神，适应一定强度的出差； <br>福利：周末双休、节日福利、餐补、生日礼物、差旅费、加班费 <br></div><div> 6.身体健康</div><div> <br>职位亮点：人工智能 <br></div>"
"路径规划算法工程师","激光雷达	岗位职责：
1.负责利用2D激光雷达、深度相机、超声波等传感器的障碍物数据融合，实时维护局部绕障地图；
2.负责单智能体的全局路径规划/局部路径规划算法的设计、开发和持续优化等；
3.负责基于交规的多智能体路径规划算法的设计、开发和持续优化等；


任职资格：
1、深入理解主流的规划算法如A*,Dijkstra,RRT,PRM等，有2年以上实际项目开发经验；
2、熟悉移动机器人运动学及运动特性；
3、熟悉Linux和ROS，熟悉ROS下机器人系统的设计开发；
4、具备较强的自驱能力和团队合作意识；"
"大模型算法工程师（图像生成方向）","计算机相关专业,数学/统计相关专业,机器学习算法/工程化经验	岗位职能
主要负责AI绘图算法研发、优化和落地，具体内容包括：
1. 图像生成基础大模型的选型和相关业务基础链路的搭建。
2. 图像生成基础大模型的调优，包括大模型微调策略的选择、Prompt优化方案、相关参数的调优、模型评估等。
3. 结合业务构建微调的数据，包括训练图片采样，图片标注等。
4. 结合业务优化链路的搭建以及整体链路效果的调优。
5. 相关模型的部署及加速相关的工作。
任职要求
1. 计算机相关专业本科及以上学历
2. 有较强的编程能力，熟练掌握Python编程。
3. 熟悉多模态如 CLIP, ERNIE-VIL 等 transformer 跨模态表征模型；有NLP、多模态、Al生成模型实践经验优先。
4. 熟悉Stable Diffusion和ControlNet，对SD模型微调有实际经验，针对模型效果出现的问题有解决的思路和经验。
5. 工作积极主动，有责任心，能够承担压力，同时有较好的团队协作能力；较强的学习能力，能够不断去研究新的技术、算法、架构。"
"强化学习算法工程师","EM算法,SLAM算法,SA算法	职位描述：
1、 负责基于Gazebo/Mujoco/Pybullet中一种或几种平台的机器人仿真；
2、 负责机器人强化学习训练平台的搭建；
3、 负责强化学习策略的训练以及在真实机器人上的移植部署，实现算法sim2real落地应用；
4、 研究前沿强化学习和模仿学习算法；
任职要求：
1、 1年+经验，统招硕士学历，计算机、统计学、人工智能等相关专业；
2、 具有机器人强化学习研究和项目经验，熟悉机器人仿真；
3、 熟悉机器人运动学、动力学、控制等基本理论；
4、 精通Python编程语言，熟练使用Linux开发环境；
5、 具有较强的编程和系统分析能力；
6、 熟悉ROS系统、C++语言更佳。"
"图形图像算法工程师","PyTorch,图形图像	<p>岗位职责</p> <p>1、学习了解三维重建相关知识；</p> <p>2、对三维重建的输入图像进行预处理；</p> <p>3、阅读技术文献，复现实验，撰写技术报告；</p> <p>4、总结成果，撰写技术论文，撰写专利。</p> <p>岗位要求</p> <p>1、精通C++或python，熟悉pytorch框架；</p> <p>2、精通图形图像和人工神经网络基础理论，具备编写神经网络训练模型能力；</p> <p>3、掌握基本的图像处理方法，图像预处理、目标检测、图像分割、图像生成等；</p> <p>4、深入理解GAN、Diffusion、Attention原理机制；</p> <p>5、具有较强学习能力，具备优秀的英文文献阅读能力、数学物理模型推理能力；</p> <p>6、了解三维重建并有相关经历优先；</p> 7、具有外文文献发表、发明专利申请优先。"
"高级自动标注算法工程师","计算机视觉,模式识别,机器学习,自动标注,机器人,多视几何,OpenCV,深度学习,位姿,智能驾驶	职位描述：
1. 负责智能驾驶自动标注系统的研发和工程落地；



职位要求：
1. 计算机视觉、模式识别、机器学习等相关专业的硕士及以上学历；
2. 具有扎实的数学基础，精通多视几何、计算机视觉、机器人等基础知识；
3. 具有VIO/SLAM/SFM/3D视觉等算法开发和系统实现经验；
4. 扎实的C/C++编程知识及熟练使用OpenCV/Eigen/G2O等库；
5. 熟悉深度学习在位姿/重建/地图等方面的算法和应用；
6. 有良好的沟通表达能力和团队合作意识，并具备较强的抗压能力；"
"算法工程师","视觉图像算法,定位算法,运动控制算法,模式识别,智慧安防,Python,C++,MATLAB	1、具有匹配至少2年及以上的基于振动的故障预测与诊断算法研发经验者优先。<br>2、掌握常用的振动信号处理与特征提取方法，如时城方法(峰峰值、有效值、峭度等)、频域方法(傅里叶变换频域滤波、包络谱变换希尔伯特黄变换、阶次分析等)、时频域方法(短时傅里叶变换、小波变换、经验模态分解等)等<br>3、 掌握常用的统计(时间序列预测、线性回归、主成分分析等)与机器学习方法(支持向量机SVM、人工神经网络ANN、lightGBM等)，有将振动信号特征工程与机器学习算法结合形成故障预测与诊断模型的经验<br>4、具备扎实的机械工程专业知识，熟悉常见机械设备的工作原理，如轴承、齿轮箱、电机、泵、压缩机等: 掌握常见传感器(加速度传感器、速度传感器、温度传感器、电流传感器等)的基本测量原理与监测目标导向的合适安装位置<br>5、能够熟练用python编写振动信号处理算法<br>6、 对某一领域，如风电传动系统故障诊断、化工设备、起重等领域有振动分析工程项目经验者优先·有利用深度学习算法自动提取振动信号特征经验者优先<div></div>"
"算法工程师","控制算法,检测算法,算法研究,Matlab	岗位职责：
1、负责电机数字化运动控制算法研究，模型仿真与验证；
2、负责嵌入式系统信息配准融合，闭环检测等前端算法及后端算法的研发和优化；
3、配合项目经理完成系统相关问题的对接与分析；

任职资格：
1、机电一体化工程、自动化、电气或相关领域硕士及以上学历，有扎实的控制论基础和控制算法实现能力;
2、了解BLDC电机工作原理，具有摆式、音圈电机控制的项目经验为佳；
3、熟悉PID、状态空间、模型观测等控制算法及相关项目经验为佳；
4、熟练使用Matlab及Simulink电机仿真工具箱，具有电机建模的相关项目经验；
5、具备较好的编程功底，熟练使用C及C++编程；
6、熟悉嵌入式软件开发； 
7、具备独立思考能力和良好的沟通能力以及团队合作精神。"
"Slam算法工程师","	        岗位职责：1、2D/3D激光SLAM定位算法研发，持续改进定位算法的定位精度、实时性、鲁棒性；2、SLAM定位模块的编码、单元测试、集成测试、仿真测试等工作；3、移动机器人在未知环境中的地图构建算法研发及实现； 4、SLAM定位算法模块与AGV本体软件其它模块的接口开发；5、完成SLAM定位算法模块概要设计、详细设计、系统说明文档的编写； 6、SLAM定位算法研发的其他相关工作。任职要求：1、计算机、软件功能、自动化控制、电子工程、信息通讯相关专业，硕士及以上学历； 2、精通移动机器人在未知环境中的地图构建算法。包括SLAM问题中多传感器融合、地图匹配，闭环检测、图优化等算法；3、精通机器人自主定位算法，进行激光、视觉（含二维码）、里程计、IMU等多传感器信息融合；4、熟练掌握linux、c++开发工作环境，了解ros系统，有相关产品落地开发经验；5、能独立完成激光SLAM定位算法模块的设计与开发工作，3年及以上定位算法开发经验。                "
"算法经理","Matlab	岗位职责：
1.负责主导新一代脑电设备算法的开发与验证，包括：算法调研、仿真预研、方案形成与落地验证

2.负责统筹开展通用核心算法的研究及落地，提升全线产品的核心性能，譬如：降噪性能的提升、数据传输及存储效率的优化等

3.负责主持脑电、肌电、心电等生理电信号的数据处理与分析

4.负责针对具有独创性、可落地技术产出，开展专利布局与申请

5.负责落实本部门员工的选拔、配备、培训、考核

6.完成上级安排的其他工作内容

任职要求：
1.硕士及以上学历，生物医学工程、电子类相关专业
2.5年以上医疗器械行业经验，3年以上团队管理经验，3个以上技术、产品开发经验，团队管理经验
3.精通信号处理、机器学习算法，提升产品数据质量及功能指标
4. 精通Matlab或Python编程语言，完成算法预研及方案形成
5.精通专利撰写与布局技能，实现技术保护与竞品限制
6.具有战略思考、市场导向、绩效导向、制度构建、资源整合能力"
"图形算法工程师（渲染方向）","渲染算法,光线追踪,离线渲染,渲染引擎,C++,图形学,渲染	岗位职责：
1. 基于图形API完成渲染效果的绘制    
2. 提升渲染引擎的真实感与计算性能

岗位要求：
1. 具有C++或Javascript开发经验。
2. 掌握至少一门图形API, 如OpenGL/Vulkan/WebGL，熟悉Shader开发以及调试工具。
3. 熟悉常用的渲染算法与材质模型，包括并不限于SSAO, 顺序无关的透明度算法，微面元模型等。
4. 具有良好的解决问题能力、学习能力、沟通能力。

加分项：
1. 了解光线传输算法，实时光追，材质系统等。

截止日期：2024年08月30日"
"[北京]NLP算法工程师-24校招","	        【工作职责】1、直接参与在线教育相关产品核心算法研发，通过自然语言处理和机器学习算法优化产品效果；2、跟进包括文本分类、信息检索、语义理解、自动问答、多轮交互、语法纠错等在内的多个技术方向前沿研究进展；3、通过前沿技术与业务场景结合，技术驱动孵化创新产品。【任职要求】1、熟悉自然语言处理常见算法与模型（如 句法分析、LDA、Word2Vec、CNN/RNN、LSTM 等）；2、熟悉机器学习的基本算法与概念，如：逻辑回归、神经网络、决策树等；3、具备较强的编码能力，扎实的数据结构和算法功底，精通C/C++、Python等编程语言；4、较好的英文技术文献的阅读能力；5、有团队意识，与他人合作良好，最好具有团队协作的经验。                "
